chisq_1502,m_{\chi_1^0} (GeV),m_1 (GeV),m_2 (GeV),tan \beta,\mu (GeV),\Omega_{\chi}h^2,\sigma_{SI},\sigma_v (Km/s),A_t (GeV),m_A (Ge V),m_Q3 (GeV
37.3037156505,179.62098700000001,178.437244316,-1551.23942164,22.5333780407,781.849496202,0.13128685804384171,2.5614885743299E-47,1.5613594946469699E-026,2.53399542E+03,-3.93040908E+03,2.9925603E+03
39.7454224374,96.652422500000000,101.445881884,112.799134526,6.25016121437,385.229790278,5.9427052327470906E-002,8.5661348407299E-46,1.8931496977340342E-026,-3.72019897E+03,-2.78120446E+03,3.24330076E+03
39.3370554873,96.115411699999996,100.795846888,117.584983254,6.39565706271,366.8852642,0.15968971915189981,2.0788488094348E-45,8.2433076192450859E-027,-3.76926609E+03,-2.9382548E+03,3.13480112E+03
38.7012443431,182.54195400000000,180.661792488,-381.768455274,12.099821526,1963.63100624,0.20213021257144159,2.5551769057681E-48,1.1043744451294495E-026,-3.77147573E+03,1.81824103E+03,2.73305676E+03
36.9125747467,178.54143099999999,177.445469321,-407.381542483,48.8602139707,675.790817326,0.17788651878256834,5.1016448217332E-47,1.2071544265157792E-026,3.10792326E+03,-3.58798375E+03,-3.41125921E+03
38.3116620653,182.37757099999999,181.06946799,-274.257878642,24.2813908465,871.388830765,0.19451830929107949,2.6977742462287E-47,1.1804122368062171E-026,2.98576262E+03,-3.77513956E+03,-3.51213448E+03
38.0551838281,89.050415400000006,92.9951602475,104.995677297,5.47698137067,439.065030621,0.11981662156331645,1.0861925347272E-45,5.9824813685855854E-027,-3.87988662E+03,-2.89322366E+03,3.13753952E+03
39.9686071087,186.90242499999999,185.367913629,-816.402355087,12.5026741372,1365.28093066,0.15200943338383868,7.2276099350193E-48,1.5096644013665449E-026,3.05980429E+03,3.20938223E+03,3.22912213E+03
34.5804891279,89.605850799999999,93.8226492688,108.733407304,7.61009904415,348.208723213,0.13763625200033663,1.7257177450923E-45,7.1566765692206662E-027,-3.70787074E+03,-2.02285313E+03,-1.42789356E+03
39.2991956539,96.065091899999999,100.852942966,114.822582011,5.65353561227,388.007181669,9.3505783576767795E-002,1.3428577537082E-45,1.3033054969478619E-026,-3.89451194E+03,-2.74076181E+03,3.15787688E+03
39.7440019748,186.27824200000001,184.256168791,-523.870391753,22.1868163592,2076.09259563,7.2229924411839924E-002,5.1576665777648E-50,2.0412313297838450E-026,3.14747244E+03,-4.03318869E+03,-3.45809867E+03
36.7736873614,92.662832100000003,95.8622316531,106.438642372,7.81448127602,402.242932584,8.6923870898526892E-002,6.9712546440071E-46,8.8135365350319435E-027,-3.77454461E+03,-2.06197882E+03,-1.31524563E+03
36.8422347548,92.757595899999998,96.4282468697,107.274888097,5.91726711875,450.460541887,0.10242510057669735,7.9116641184227E-46,7.4455454901058166E-027,-3.80661937E+03,-2.80448026E+03,3.09891167E+03
37.5203160989,93.671525200000005,97.2332821023,107.967615041,9.70837635844,376.949164464,9.7979607192741278E-002,7.3412093564745E-46,8.2727226897358448E-027,-3.79795658E+03,-2.85676599E+03,3.1333215E+03
39.3333552964,99.611086499999999,-112.778536631,286.470116825,14.8723725731,141.462597938,0.18025421719918877,7.8921518661154E-47,8.4946103804413965E-027,-3.53828515E+03,-4.63364974E+02,3.51682469E+03
34.9148811679,89.144896099999997,92.51401423,103.964014544,6.35500996903,406.804221303,8.2840210092907540E-002,7.7306589575301E-46,8.6723048479149809E-027,3.7275368E+03,3.84296627E+03,-3.26233279E+03
36.7435018674,178.07771099999999,176.797872589,-485.348834147,28.2778984442,762.743666486,0.17802226170007643,3.2392187659608E-47,1.1810423254786411E-026,3.80479815E+03,-3.74392491E+03,2.8643522E+03
39.0462422164,184.38576499999999,182.848910223,-518.505639788,25.8616371853,984.150667499,0.15575643663418196,1.2003419267332E-47,1.4140006749466792E-026,-3.50090883E+03,3.77292306E+03,-3.37391112E+03
38.1738969201,177.19339900000000,176.015081925,254.454377306,10.8163970716,751.028116465,0.20111015482617609,1.3692120189444E-46,1.0338049358794744E-026,2.12669538E+03,9.79311242E+02,-1.66909162E+03
36.6315277577,90.592673700000006,94.5317729499,107.299895023,7.60630523884,379.402206898,0.13028786349816471,1.2061068838972E-45,6.6048640828701180E-027,-3.62605689E+03,-2.75136019E+03,3.14121881E+03
39.1842877905,184.74995699999999,182.909155167,-338.358177286,15.6721266926,2137.4595085,0.20406103661022215,1.2361422448236E-48,1.1443186105161509E-026,3.15609364E+03,-3.8069587E+03,-3.6190502E+03
37.5226758791,180.18785900000000,-178.392845118,449.719962719,54.6345415688,925.895153642,9.4201258786210801E-002,3.018154995726E-48,1.6378233597251487E-026,3.16416158E+03,1.23476335E+03,3.02295234E+03
36.317558695,92.035315999999995,95.951525434,112.913942417,6.57542906303,358.653020082,0.15774461688405933,1.8674584316361E-45,7.4682821938175788E-027,3.74490471E+03,3.67314966E+03,-3.16648948E+03
39.1848785129,95.912686899999997,99.5379088842,111.246814425,6.12970511037,438.939331254,0.11317357363264317,9.0597693144693E-46,7.8551046058811845E-027,-3.75565334E+03,-2.73664199E+03,3.17729224E+03
39.3945001367,175.88703100000001,-176.116489571,-282.043418786,23.5484325791,397.717920387,0.19857180099989127,1.7392593963115E-46,9.6898891744112265E-027,2.43374825E+03,1.28059121E+03,3.04350104E+03
39.2598381767,184.97107299999999,-182.686854258,418.856828261,8.01728420695,541.210591985,0.14861164443782526,2.0709894478251E-48,1.4095426275819563E-026,3.63609722E+03,-3.84868529E+03,-3.55907042E+03
39.2092061965,184.81116299999999,-183.110620589,482.726921401,43.230723845,805.809503491,9.8131524714668392E-002,2.4599403085004E-49,1.7375058290096407E-026,3.03731447E+03,1.3343936E+03,3.09366772E+03
39.1727527337,184.72971799999999,182.990490251,-311.369101452,25.4078798599,1224.98209862,0.12669147243693257,3.4050724382562E-48,1.6709537290622886E-026,3.27066233E+03,-3.78582552E+03,-3.41242069E+03
38.3023366242,182.35104200000001,181.061389783,-227.282259022,11.4667826402,833.684165805,8.7359326500740977E-002,2.5358004562421E-47,1.6661783448969842E-026,-2.97701356E+03,-1.26933673E+03,-2.07104756E+03
38.9564470739,184.14057199999999,182.279488365,-393.184485104,11.3199651364,1838.13805491,0.18127109185302226,3.2210162168852E-48,1.1947625389741893E-026,-4.11742082E+03,1.98201416E+03,2.59748455E+03
38.6946732852,182.92705100000001,182.538798376,204.145526918,15.5439033888,560.996437876,8.8201211192934864E-002,1.9968042423342E-46,1.9270851800354951E-026,2.10662535E+03,1.17810619E+03,-1.78643251E+03
38.8581048635,183.85378700000001,-182.785730676,425.428181418,29.4113681266,552.472390667,0.14531827215299184,9.8716304241247E-48,1.4782182040504912E-026,3.12660314E+03,1.32248076E+03,3.14520523E+03
39.2391679805,184.83411599999999,186.649499849,-254.775618616,16.1064728882,385.400932916,0.11589642898327367,4.8109006840816E-46,1.9864643477293092E-026,3.2507227E+03,-3.89254322E+03,-3.50736983E+03
39.8835308211,96.842202099999994,100.325420514,110.950823246,5.71125829778,475.314133671,0.10276516003091851,7.1799603413065E-46,7.6269765228433779E-027,-3.7710334E+03,-2.8053188E+03,3.10031378E+03
38.1091683454,181.82166699999999,181.095780248,-269.171533786,27.4778836313,612.836236851,0.19396565732440166,9.8206644116755E-47,1.1790666126740716E-026,3.04624344E+03,-3.85397447E+03,-3.39219264E+03
39.3242808731,96.093210700000000,100.86165309,112.857411427,8.83541291042,338.559752993,6.2813791826879128E-002,9.027363524875E-46,1.8639426532393262E-026,-3.71732731E+03,-2.85354461E+03,3.07317247E+03
34.082642637,88.895043700000002,93.6214323977,107.215893956,6.12368880611,373.10928488,0.10774207166424339,1.4764675761137E-45,8.4968678827431419E-027,-3.74203879E+03,-2.71732423E+03,3.00608183E+03
37.5231462887,180.20867300000000,-178.168700345,-190.521893131,36.4753821293,1214.42746935,0.15712484583451816,2.7639849335966E-48,1.2436109689217010E-026,2.59584717E+03,1.20109017E+03,2.99341012E+03
36.1304082211,91.780584599999997,95.5080218923,109.079892469,5.25167986105,421.257380243,0.12084448759264298,1.4998830188887E-45,8.1173817310959688E-027,3.24464966E+03,1.1978296E+03,1.73269185E+03
37.6070332476,180.44561200000001,179.250975158,-337.858832399,14.4696193805,889.766853553,0.18254514874453218,2.7523079881192E-47,1.2240847485537117E-026,3.79229988E+03,-3.91914336E+03,2.95389701E+03
37.8210135403,181.01949999999999,178.882858305,416.000028363,15.2975009233,1202.18332634,0.17983025773589065,2.0948186933606E-47,1.2543543229703666E-026,2.11797855E+03,9.93032762E+02,-1.58980078E+03
35.9365362725,175.82195899999999,173.766593212,-318.774379356,38.2258239536,2513.83969349,0.14906184632636701,4.5578337829049E-52,1.1691333770391106E-026,2.9081286E+03,-3.80420863E+03,-3.57239057E+03
36.9824953332,178.73452200000000,-175.144889321,-410.012321164,5.58336108894,1348.37123079,0.16525296291919803,1.2071318359806E-47,1.1803651379470522E-026,3.55442954E+03,3.7017011E+03,3.20178431E+03
37.776503739,92.556037300000000,96.434233673,109.100924005,5.42856138633,444.024774819,0.13167005830345452,1.1741004999911E-45,6.7059361437770291E-027,-3.72772068E+03,-2.86184924E+03,3.02839177E+03
39.0885166005,95.784500199999997,100.082848951,113.702553172,6.96324060351,355.635242758,7.2470672578632156E-002,1.0685658841317E-45,1.6921879388803333E-026,3.55093616E+03,3.79875051E+03,-3.24586288E+03
38.9627022489,184.15625800000001,182.332493148,-235.116504457,27.0796469407,1372.15520573,0.12791930446456368,1.9593773518852E-48,1.6522596614289882E-026,3.12429683E+03,-3.67955994E+03,-3.44135477E+03
37.5689450371,180.34394000000000,-177.606345884,296.1300818,15.948725225,1909.63481185,0.15215739771510794,1.9121983968046E-48,1.3900451583183196E-026,-2.8310104E+03,1.5512434E+03,2.12704217E+03
38.7211148391,94.573360899999997,98.2630837152,115.500970029,7.97176463923,348.127209744,0.17900484785654228,1.8857340323025E-45,6.8706399475051533E-027,3.69454612E+03,3.80542923E+03,-3.21239263E+03
39.1139302,184.54190800000001,183.059268538,329.699154992,10.659581943,790.736066238,0.10668788593179884,5.9323621041869E-47,1.8233302968599706E-026,2.19315167E+03,8.80944071E+02,-1.50530997E+03
39.6201477189,185.25108399999999,-184.359649843,379.528783297,36.8565052877,528.514874705,0.20771641061639129,1.72812262909E-47,1.1126120243814814E-026,3.14766931E+03,1.32164074E+03,3.03883533E+03
37.0704184311,93.068779399999997,97.579519293,109.189895769,6.12688698592,395.041276183,7.5208928718310378E-002,9.2950959697768E-46,1.3186801546092813E-026,-3.87856683E+03,-2.77123976E+03,3.22570376E+03
37.8379379992,90.007538800000006,93.5036775811,106.889416366,5.708614167,417.046488201,0.13872771805798070,1.578137565735E-45,6.1957893398278094E-027,3.12291442E+03,1.05739198E+03,1.64397458E+03
37.6554855759,93.859101999999993,96.961145855,107.93656379,7.47959772242,414.488314587,0.10090828529102443,7.6310350643298E-46,7.8485690475667524E-027,-3.60714284E+03,-2.04091586E+03,-1.32395132E+03
37.8003614753,180.98019500000001,180.437032976,-364.475290194,19.3993714024,610.415076695,0.12619549921648573,7.2783181883553E-47,1.6721089241295944E-026,3.19952849E+03,-3.74908758E+03,-3.55523104E+03
37.4125164366,179.91541799999999,179.254171092,-523.538211424,32.5365863786,587.865879659,0.15545361437251862,9.1043912262243E-47,1.4062424963893051E-026,3.08612244E+03,-3.82614993E+03,-3.50082596E+03
38.9233862512,184.03432200000000,-181.630720586,357.794034031,30.9986849875,2505.9920502,0.18011646691725114,1.8355775938772E-48,1.2450601320745649E-026,3.09985936E+03,1.42770388E+03,3.08826781E+03
37.7522731102,93.992531099999994,98.4626305494,109.541173922,5.16932340825,432.643152286,6.9208865560740740E-002,8.5227995655932E-46,1.3906053025919626E-026,-3.75751914E+03,-2.83349819E+03,3.15316769E+03
38.2956001469,182.32586100000000,-180.530768281,199.853804045,16.5125154767,-1054.494628,0.17639258110231379,2.2730547885204E-47,1.2865994693686790E-026,-2.89545894E+03,1.25517836E+03,2.03576885E+03
38.9423694662,89.764751000000004,94.6303672853,111.376699222,5.1973456737,387.079552823,0.18162787521492346,2.5364476016198E-45,5.9118291183005053E-027,-3.83136143E+03,-2.82222104E+03,3.13763213E+03
38.5732216534,95.095212300000000,99.0298904607,110.076395016,5.41010726099,453.047357603,8.8696274737917316E-002,8.2502370116809E-46,9.9433828180833068E-027,-3.71692924E+03,-2.7158843E+03,3.1221771E+03
