Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
31,8.67E+01,8.67E+01,-1.06E+02,3.94E+02,1.53E+01,1.14E+02,0.115244527,9.19447E-10,8.10E-27,3.53E+03,5.88E+02,-2.94E+03
31,8.67E+01,8.67E+01,-1.09E+02,3.82E+02,1.73E+01,1.11E+02,7.79E-02,7.94157E-10,1.16E-26,3.50E+03,6.41E+02,-2.67E+03
31,8.67E+01,8.67E+01,-1.07E+02,3.06E+02,1.69E+01,1.13E+02,8.84E-02,4.32302E-10,9.21E-27,3.38E+03,5.52E+02,-3.00E+03
31,8.67E+01,8.67E+01,-1.06E+02,4.46E+02,2.29E+01,1.15E+02,0.119291945,1.46933E-09,8.20E-27,2.54E+03,1.28E+03,-8.90E+02
31,8.67E+01,8.67E+01,-1.07E+02,4.46E+02,1.86E+01,1.14E+02,0.116141079,5.70328E-10,8.26E-27,3.35E+03,5.73E+02,-2.87E+03
31,8.67E+01,8.67E+01,-1.11E+02,4.02E+02,2.53E+01,1.10E+02,7.60E-02,3.24436E-10,1.23E-26,3.34E+03,6.28E+02,-2.79E+03
31,8.66E+01,8.66E+01,-1.07E+02,4.12E+02,2.82E+01,1.15E+02,0.121513035,4.70761E-10,7.91E-27,-1.74E+03,6.45E+02,1.84E+03
31,8.67E+01,8.67E+01,-1.05E+02,3.06E+02,1.43E+01,1.14E+02,0.102532465,1.01184E-09,8.04E-27,3.38E+03,6.19E+02,-2.91E+03
31,8.67E+01,8.67E+01,-1.06E+02,4.12E+02,1.72E+01,1.15E+02,0.120838659,1.52138E-09,7.84E-27,-1.66E+03,6.58E+02,1.90E+03
31,8.66E+01,8.66E+01,-1.06E+02,2.80E+02,2.11E+01,1.14E+02,9.88E-02,5.18191E-11,7.97E-27,3.48E+03,5.13E+02,-2.90E+03
31,8.65E+01,8.65E+01,-1.07E+02,3.98E+02,2.39E+01,1.14E+02,0.118954461,6.05581E-11,7.95E-27,3.38E+03,5.41E+02,-2.94E+03
31,8.66E+01,8.66E+01,-1.09E+02,3.57E+02,1.69E+01,1.11E+02,7.97E-02,7.26525E-11,1.09E-26,3.46E+03,4.66E+02,-2.97E+03
31,8.67E+01,8.67E+01,-1.05E+02,3.12E+02,1.20E+01,1.13E+02,9.02E-02,4.3161E-10,8.76E-27,3.48E+03,4.85E+02,-2.97E+03
31,8.66E+01,8.66E+01,-1.08E+02,5.05E+02,2.61E+01,1.14E+02,0.120066894,6.15325E-10,8.11E-27,3.48E+03,6.72E+02,-2.62E+03
31,8.67E+01,8.67E+01,-1.06E+02,3.55E+02,1.37E+01,1.14E+02,0.11132924,9.51109E-10,8.01E-27,3.66E+03,5.83E+02,-2.89E+03
31,8.66E+01,8.66E+01,-1.06E+02,3.23E+02,2.18E+01,1.15E+02,0.113147636,5.21734E-10,7.89E-27,-1.63E+03,5.89E+02,1.85E+03
31,8.66E+01,8.66E+01,-1.08E+02,4.99E+02,2.62E+01,1.14E+02,0.12257721,9.09342E-10,7.91E-27,3.43E+03,7.18E+02,-2.79E+03
31,8.67E+01,8.67E+01,-1.08E+02,3.12E+02,2.16E+01,1.13E+02,8.48E-02,1.08602E-09,9.91E-27,-1.81E+03,7.29E+02,1.85E+03
31,8.67E+01,8.67E+01,-1.07E+02,2.99E+02,1.93E+01,1.13E+02,8.90E-02,6.09109E-10,9.05E-27,3.33E+03,6.22E+02,-2.72E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.01E+02,1.76E+01,1.14E+02,0.10190965,5.88645E-11,8.05E-27,3.92E+03,4.76E+02,-3.09E+03
31,8.67E+01,8.67E+01,-1.09E+02,3.44E+02,2.15E+01,1.11E+02,8.01E-02,5.99162E-10,1.09E-26,3.33E+03,6.50E+02,-2.78E+03
31,8.67E+01,8.67E+01,-1.09E+02,3.74E+02,2.49E+01,1.11E+02,7.76E-02,9.26217E-10,1.19E-26,2.58E+03,1.22E+03,-8.90E+02
31,8.66E+01,8.66E+01,-1.06E+02,3.07E+02,1.56E+01,1.14E+02,9.99E-02,6.60072E-10,8.24E-27,3.52E+03,5.73E+02,-3.04E+03
31,8.67E+01,8.67E+01,-1.09E+02,3.79E+02,3.26E+01,1.11E+02,7.75E-02,7.69861E-10,1.21E-26,2.68E+03,1.21E+03,-8.90E+02
31,8.67E+01,8.67E+01,-1.10E+02,3.82E+02,3.59E+01,1.11E+02,7.69E-02,8.99255E-10,1.22E-26,2.47E+03,1.25E+03,-8.87E+02
31,8.67E+01,8.67E+01,-1.07E+02,3.16E+02,1.86E+01,1.13E+02,8.56E-02,7.32669E-10,9.76E-27,-1.61E+03,6.04E+02,1.77E+03
31,8.67E+01,8.67E+01,-1.10E+02,4.34E+02,2.77E+01,1.10E+02,7.28E-02,8.80055E-10,1.32E-26,2.56E+03,1.28E+03,-8.82E+02
31,8.66E+01,8.66E+01,-1.09E+02,3.55E+02,2.12E+01,1.11E+02,7.92E-02,1.14261E-10,1.12E-26,-1.58E+03,5.09E+02,1.84E+03
31,8.66E+01,8.66E+01,-1.08E+02,3.39E+02,1.65E+01,1.12E+02,8.45E-02,4.15819E-10,1.01E-26,3.40E+03,5.41E+02,-2.86E+03
31,8.66E+01,8.66E+01,-1.08E+02,4.68E+02,2.30E+01,1.14E+02,0.119843048,1.06606E-09,8.04E-27,3.48E+03,7.09E+02,-2.69E+03
31,8.66E+01,8.66E+01,-1.07E+02,3.96E+02,1.70E+01,1.14E+02,0.114828634,9.35849E-10,8.11E-27,3.64E+03,6.19E+02,-2.80E+03
31,8.66E+01,8.66E+01,-1.10E+02,3.80E+02,1.99E+01,1.10E+02,7.72E-02,5.10311E-10,1.17E-26,3.50E+03,6.11E+02,-2.62E+03
31,8.66E+01,8.66E+01,-1.08E+02,4.48E+02,2.53E+01,1.14E+02,0.116812827,4.64258E-10,8.23E-27,3.55E+03,6.41E+02,-2.68E+03
31,8.66E+01,8.66E+01,-1.10E+02,3.82E+02,2.18E+01,1.10E+02,7.69E-02,5.17579E-11,1.17E-26,3.48E+03,5.13E+02,-2.66E+03
31,8.66E+01,8.66E+01,-1.06E+02,3.47E+02,1.40E+01,1.14E+02,0.107966449,8.44039E-10,8.08E-27,3.45E+03,5.68E+02,-2.90E+03
31,8.66E+01,8.66E+01,-1.10E+02,3.91E+02,3.80E+01,1.10E+02,7.43E-02,9.81463E-10,1.25E-26,2.48E+03,1.04E+03,-1.04E+03
31,8.66E+01,8.66E+01,-1.07E+02,4.52E+02,1.96E+01,1.14E+02,0.118766209,5.5252E-10,7.99E-27,3.40E+03,5.82E+02,-2.89E+03
31,8.66E+01,8.66E+01,-1.10E+02,3.69E+02,2.37E+01,1.10E+02,7.73E-02,2.80111E-10,1.16E-26,3.36E+03,6.00E+02,-2.81E+03
31,8.66E+01,8.66E+01,-1.07E+02,4.10E+02,1.83E+01,1.14E+02,0.118607525,1.28941E-09,7.91E-27,3.50E+03,6.90E+02,-2.71E+03
31,8.66E+01,8.66E+01,-1.08E+02,3.32E+02,3.76E+01,1.12E+02,8.12E-02,1.00926E-09,1.09E-26,2.67E+03,1.18E+03,-9.32E+02
31,8.66E+01,8.66E+01,-1.09E+02,3.68E+02,3.95E+01,1.11E+02,7.82E-02,6.04009E-10,1.18E-26,2.67E+03,1.18E+03,-8.93E+02
31,8.66E+01,8.66E+01,-1.09E+02,3.92E+02,2.62E+01,1.11E+02,7.60E-02,5.98506E-10,1.22E-26,2.62E+03,1.33E+03,-8.71E+02
31,8.65E+01,8.65E+01,-1.08E+02,4.40E+02,2.35E+01,1.14E+02,0.11832604,2.97775E-10,8.03E-27,3.32E+03,5.87E+02,-2.66E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.57E+02,1.47E+01,1.14E+02,0.108066117,3.62535E-10,8.19E-27,3.48E+03,4.97E+02,-2.91E+03
31,8.65E+01,8.65E+01,-1.08E+02,3.32E+02,1.69E+01,1.12E+02,8.60E-02,1.22463E-10,9.75E-27,3.90E+03,4.84E+02,-3.14E+03
31,8.66E+01,8.66E+01,-1.06E+02,2.92E+02,1.54E+01,1.14E+02,9.46E-02,7.68652E-10,8.18E-27,3.45E+03,6.01E+02,-2.94E+03
31,8.66E+01,8.66E+01,-1.05E+02,3.16E+02,1.29E+01,1.14E+02,0.100741742,6.72841E-10,8.07E-27,3.34E+03,5.32E+02,-2.97E+03
31,8.66E+01,8.66E+01,-1.09E+02,3.66E+02,3.24E+01,1.11E+02,7.70E-02,6.67303E-10,1.18E-26,2.63E+03,1.16E+03,-8.82E+02
31,8.65E+01,8.65E+01,-1.08E+02,4.51E+02,2.65E+01,1.14E+02,0.120331359,5.09631E-10,7.93E-27,3.56E+03,6.62E+02,-2.65E+03
31,8.66E+01,8.66E+01,-1.08E+02,3.04E+02,2.59E+01,1.12E+02,8.48E-02,4.6515E-10,9.59E-27,3.33E+03,6.75E+02,-2.81E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.76E+02,2.61E+01,1.14E+02,0.116051384,1.71506E-10,8.03E-27,-1.66E+03,5.73E+02,1.92E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.16E+02,1.77E+01,1.14E+02,0.106268706,3.89992E-10,7.95E-27,3.45E+03,5.45E+02,-2.97E+03
31,8.66E+01,8.66E+01,-1.06E+02,3.22E+02,3.04E+01,1.15E+02,0.110735914,6.00851E-10,8.10E-27,2.58E+03,1.27E+03,-8.89E+02
31,8.66E+01,8.66E+01,-1.10E+02,4.15E+02,3.91E+01,1.10E+02,7.54E-02,2.0955E-10,1.26E-26,2.61E+03,1.13E+03,-8.72E+02
31,8.65E+01,8.65E+01,-1.07E+02,4.30E+02,2.31E+01,1.14E+02,0.117150877,4.87912E-10,8.09E-27,-1.57E+03,5.89E+02,1.86E+03
31,8.65E+01,8.65E+01,-1.06E+02,2.95E+02,1.59E+01,1.14E+02,9.82E-02,8.097E-10,8.01E-27,3.51E+03,6.12E+02,-2.82E+03
31,8.66E+01,8.66E+01,-1.09E+02,3.42E+02,3.94E+01,1.11E+02,7.97E-02,8.9237E-10,1.12E-26,2.68E+03,1.22E+03,-9.03E+02
31,8.65E+01,8.65E+01,-1.09E+02,3.22E+02,3.16E+01,1.11E+02,8.25E-02,4.38077E-10,1.03E-26,3.48E+03,7.36E+02,-2.65E+03
31,8.65E+01,8.65E+01,-1.07E+02,2.88E+02,2.52E+01,1.13E+02,8.81E-02,3.61015E-10,8.88E-27,3.44E+03,6.44E+02,-2.73E+03
31,8.65E+01,8.65E+01,-1.10E+02,4.13E+02,2.22E+01,1.10E+02,7.66E-02,6.36987E-10,1.21E-26,-1.61E+03,6.29E+02,1.87E+03
31,8.66E+01,8.66E+01,-1.11E+02,4.25E+02,3.50E+01,1.10E+02,7.27E-02,7.83717E-10,1.31E-26,2.57E+03,1.25E+03,-8.89E+02
31,8.65E+01,8.65E+01,-1.06E+02,3.74E+02,1.45E+01,1.14E+02,0.111338562,7.74364E-10,8.04E-27,3.43E+03,5.57E+02,-2.91E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.90E+02,1.85E+01,1.14E+02,0.116781347,1.37962E-09,7.93E-27,-1.65E+03,6.61E+02,1.81E+03
31,8.65E+01,8.65E+01,-1.05E+02,3.16E+02,1.21E+01,1.14E+02,9.87E-02,1.02681E-09,8.11E-27,3.68E+03,6.02E+02,-2.94E+03
31,8.66E+01,8.66E+01,-1.10E+02,3.97E+02,3.91E+01,1.10E+02,7.46E-02,5.15711E-10,1.25E-26,2.67E+03,1.19E+03,-8.82E+02
31,8.64E+01,8.64E+01,-1.07E+02,3.96E+02,2.02E+01,1.14E+02,0.114319135,2.61502E-10,8.07E-27,3.39E+03,5.43E+02,-2.84E+03
31,8.65E+01,8.65E+01,-1.10E+02,3.53E+02,3.41E+01,1.11E+02,7.89E-02,5.15836E-10,1.13E-26,-1.81E+03,7.45E+02,1.79E+03
31,8.64E+01,8.64E+01,-1.09E+02,3.42E+02,2.36E+01,1.11E+02,8.26E-02,1.13879E-10,1.05E-26,-1.54E+03,5.35E+02,1.83E+03
31,8.65E+01,8.65E+01,-1.07E+02,4.51E+02,1.99E+01,1.14E+02,0.116949469,1.19639E-09,8.06E-27,3.42E+03,6.92E+02,-2.63E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.20E+02,1.56E+01,1.12E+02,8.76E-02,1.28641E-10,9.18E-27,3.40E+03,4.67E+02,-2.91E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.39E+02,1.72E+01,1.14E+02,0.10714198,4.38407E-10,8.07E-27,3.34E+03,5.43E+02,-2.96E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.72E+02,1.47E+01,1.13E+02,0.10914842,7.33307E-10,8.15E-27,3.37E+03,5.54E+02,-2.90E+03
31,8.65E+01,8.65E+01,-1.11E+02,4.30E+02,4.20E+01,1.10E+02,7.43E-02,8.14801E-10,1.29E-26,2.66E+03,1.28E+03,-8.93E+02
31,8.65E+01,8.65E+01,-1.06E+02,3.23E+02,1.47E+01,1.14E+02,0.10380757,7.21075E-10,7.98E-27,3.57E+03,5.66E+02,-2.93E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.90E+02,3.66E+01,1.14E+02,0.116260189,2.58728E-10,8.05E-27,3.54E+03,7.20E+02,-2.72E+03
31,8.64E+01,8.64E+01,-1.11E+02,3.74E+02,3.06E+01,1.10E+02,7.85E-02,1.26477E-10,1.14E-26,3.62E+03,6.33E+02,-2.74E+03
31,8.65E+01,8.65E+01,-1.06E+02,3.52E+02,1.35E+01,1.14E+02,0.108477794,1.38178E-09,8.06E-27,3.47E+03,6.63E+02,-2.92E+03
31,8.65E+01,8.65E+01,-1.07E+02,3.03E+02,1.89E+01,1.13E+02,9.00E-02,7.41095E-10,8.80E-27,3.37E+03,6.44E+02,-2.86E+03
31,8.64E+01,8.64E+01,-1.08E+02,4.11E+02,3.59E+01,1.14E+02,0.119593987,2.77409E-10,7.84E-27,3.50E+03,7.16E+02,-2.66E+03
31,8.64E+01,8.64E+01,-1.05E+02,3.26E+02,1.34E+01,1.14E+02,0.101824363,9.79514E-10,8.06E-27,3.51E+03,5.97E+02,-2.93E+03
31,8.64E+01,8.64E+01,-1.09E+02,3.53E+02,2.41E+01,1.11E+02,7.93E-02,3.26441E-10,1.10E-26,-1.71E+03,5.92E+02,1.83E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.75E+02,1.96E+01,1.14E+02,0.114335048,2.39176E-10,7.89E-27,3.50E+03,5.35E+02,-2.88E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.64E+02,2.24E+01,1.14E+02,0.113351867,3.44793E-10,7.94E-27,3.77E+03,5.93E+02,-2.61E+03
31,8.63E+01,8.63E+01,-1.07E+02,2.80E+02,2.49E+01,1.13E+02,9.10E-02,3.96539E-11,8.27E-27,4.02E+03,5.52E+02,-3.11E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.55E+02,1.91E+01,1.11E+02,8.25E-02,3.65547E-10,1.05E-26,-1.65E+03,5.39E+02,1.87E+03
31,8.65E+01,8.65E+01,-1.10E+02,3.95E+02,3.67E+01,1.10E+02,7.61E-02,9.82382E-10,1.22E-26,2.66E+03,1.29E+03,-8.93E+02
31,8.63E+01,8.63E+01,-1.07E+02,3.15E+02,2.51E+01,1.14E+02,0.105663029,1.54732E-10,8.03E-27,3.50E+03,5.83E+02,-2.85E+03
31,8.64E+01,8.64E+01,-1.08E+02,4.81E+02,2.36E+01,1.13E+02,0.116852376,3.22457E-10,8.07E-27,3.73E+03,5.97E+02,-2.65E+03
31,8.64E+01,8.64E+01,-1.11E+02,3.92E+02,2.59E+01,1.10E+02,7.81E-02,9.66493E-11,1.15E-26,3.69E+03,5.74E+02,-2.70E+03
31,8.64E+01,8.64E+01,-1.09E+02,3.50E+02,2.30E+01,1.11E+02,8.06E-02,9.39625E-10,1.07E-26,-1.73E+03,7.09E+02,1.80E+03
31,8.64E+01,8.64E+01,-1.08E+02,3.97E+02,2.82E+01,1.14E+02,0.115199958,3.53007E-10,8.03E-27,3.35E+03,6.51E+02,-2.74E+03
31,8.64E+01,8.64E+01,-1.06E+02,3.21E+02,1.83E+01,1.14E+02,0.107907043,9.38216E-10,7.89E-27,-1.71E+03,6.13E+02,1.82E+03
31,8.64E+01,8.64E+01,-1.06E+02,4.12E+02,2.37E+01,1.15E+02,0.119991546,1.58858E-09,7.82E-27,2.71E+03,1.13E+03,-9.05E+02
31,8.64E+01,8.64E+01,-1.05E+02,3.21E+02,1.27E+01,1.13E+02,9.92E-02,1.04598E-09,8.08E-27,3.45E+03,6.05E+02,-2.95E+03
31,8.64E+01,8.64E+01,-1.10E+02,3.77E+02,2.97E+01,1.10E+02,7.87E-02,5.03947E-10,1.14E-26,-1.76E+03,6.92E+02,1.83E+03
31,8.63E+01,8.63E+01,-1.06E+02,2.87E+02,2.05E+01,1.14E+02,9.80E-02,8.80159E-11,7.85E-27,3.94E+03,5.20E+02,-3.08E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.65E+02,2.32E+01,1.14E+02,0.114584704,6.96757E-10,7.86E-27,3.31E+03,6.56E+02,-2.80E+03
31,8.64E+01,8.64E+01,-1.11E+02,4.08E+02,2.36E+01,1.10E+02,7.72E-02,9.99994E-10,1.18E-26,-1.78E+03,7.31E+02,1.89E+03
31,8.63E+01,8.63E+01,-1.08E+02,4.49E+02,2.48E+01,1.13E+02,0.117700228,3.16568E-10,7.92E-27,3.42E+03,6.06E+02,-2.85E+03
31,8.64E+01,8.64E+01,-1.06E+02,3.46E+02,1.73E+01,1.14E+02,0.111189591,9.80271E-10,7.81E-27,3.59E+03,6.40E+02,-2.97E+03
31,8.64E+01,8.64E+01,-1.07E+02,3.43E+02,2.16E+01,1.14E+02,0.109097868,8.4201E-10,8.07E-27,-1.72E+03,6.36E+02,1.92E+03
31,8.64E+01,8.64E+01,-1.10E+02,3.99E+02,4.05E+01,1.10E+02,7.48E-02,8.93935E-10,1.23E-26,2.68E+03,1.30E+03,-8.96E+02
31,8.63E+01,8.63E+01,-1.06E+02,3.03E+02,2.16E+01,1.14E+02,0.102840219,2.58021E-10,7.95E-27,-1.55E+03,5.46E+02,1.84E+03
31,8.64E+01,8.64E+01,-1.11E+02,4.14E+02,2.42E+01,1.10E+02,7.79E-02,5.60771E-10,1.17E-26,3.28E+03,6.68E+02,-2.89E+03
31,8.64E+01,8.64E+01,-1.11E+02,4.05E+02,2.28E+01,1.10E+02,7.72E-02,6.17023E-10,1.16E-26,3.46E+03,6.70E+02,-2.88E+03
31,8.63E+01,8.63E+01,-1.08E+02,4.29E+02,2.50E+01,1.13E+02,0.116035414,6.90326E-10,7.99E-27,3.45E+03,6.74E+02,-2.85E+03
31,8.63E+01,8.63E+01,-1.10E+02,3.77E+02,2.50E+01,1.10E+02,7.79E-02,2.72114E-10,1.13E-26,-1.60E+03,5.86E+02,1.84E+03
31,8.63E+01,8.63E+01,-1.07E+02,4.25E+02,2.36E+01,1.14E+02,0.1170615,1.11229E-09,7.91E-27,-1.70E+03,6.86E+02,1.79E+03
31,8.63E+01,8.63E+01,-1.06E+02,4.07E+02,1.80E+01,1.14E+02,0.114836109,1.1893E-09,7.93E-27,-1.59E+03,6.26E+02,1.90E+03
31,8.64E+01,8.64E+01,-1.09E+02,3.72E+02,3.35E+01,1.10E+02,7.74E-02,1.47157E-10,1.15E-26,2.68E+03,1.25E+03,-8.66E+02
31,8.63E+01,8.63E+01,-1.09E+02,3.71E+02,2.78E+01,1.11E+02,7.86E-02,3.59107E-10,1.12E-26,2.63E+03,1.14E+03,-8.78E+02
31,8.63E+01,8.63E+01,-1.07E+02,3.88E+02,2.12E+01,1.13E+02,0.114616333,8.27207E-10,7.86E-27,3.53E+03,6.56E+02,-2.81E+03
31,8.63E+01,8.63E+01,-1.08E+02,3.55E+02,1.61E+01,1.11E+02,8.33E-02,7.24472E-10,9.96E-27,3.43E+03,6.03E+02,-2.58E+03
31,8.62E+01,8.62E+01,-1.07E+02,3.02E+02,2.35E+01,1.12E+02,8.99E-02,1.44294E-10,8.71E-27,3.57E+03,5.67E+02,-2.75E+03
31,8.63E+01,8.63E+01,-1.10E+02,3.81E+02,3.71E+01,1.10E+02,7.72E-02,2.86823E-10,1.16E-26,2.63E+03,1.16E+03,-8.72E+02
31,8.62E+01,8.62E+01,-1.08E+02,3.11E+02,2.83E+01,1.12E+02,8.71E-02,1.87113E-10,9.22E-27,3.28E+03,6.26E+02,-2.76E+03
31,8.63E+01,8.63E+01,-1.06E+02,3.22E+02,2.02E+01,1.14E+02,0.106467146,1.13894E-09,7.91E-27,-1.73E+03,6.73E+02,1.75E+03
31,8.62E+01,8.62E+01,-1.06E+02,2.94E+02,2.10E+01,1.13E+02,9.87E-02,7.46681E-11,7.81E-27,3.41E+03,5.17E+02,-2.97E+03
31,8.62E+01,8.62E+01,-1.08E+02,4.69E+02,2.63E+01,1.13E+02,0.117568119,6.48446E-10,7.88E-27,3.58E+03,6.83E+02,-2.73E+03
31,8.63E+01,8.63E+01,-1.06E+02,3.63E+02,3.28E+01,1.14E+02,0.116093263,1.04385E-09,7.84E-27,2.59E+03,1.16E+03,-8.95E+02
31,8.63E+01,8.63E+01,-1.06E+02,3.94E+02,1.70E+01,1.13E+02,0.113750811,1.07247E-09,7.83E-27,3.34E+03,6.34E+02,-2.80E+03
31,8.63E+01,8.63E+01,-1.06E+02,3.34E+02,3.46E+01,1.14E+02,0.112327018,1.36699E-09,7.90E-27,2.55E+03,1.31E+03,-8.94E+02
31,8.63E+01,8.63E+01,-1.08E+02,3.59E+02,1.85E+01,1.11E+02,8.34E-02,8.39079E-10,1.01E-26,3.60E+03,6.66E+02,-2.66E+03
31,8.63E+01,8.63E+01,-1.07E+02,4.06E+02,1.75E+01,1.13E+02,0.113292489,1.3961E-09,7.92E-27,3.30E+03,6.99E+02,-2.82E+03
31,8.62E+01,8.62E+01,-1.12E+02,4.77E+02,2.86E+01,1.09E+02,7.46E-02,3.71114E-10,1.25E-26,3.47E+03,6.76E+02,-2.63E+03
31,8.62E+01,8.62E+01,-1.09E+02,3.42E+02,2.15E+01,1.11E+02,8.37E-02,6.29179E-10,9.88E-27,3.37E+03,6.54E+02,-2.78E+03
31,8.62E+01,8.62E+01,-1.07E+02,4.22E+02,2.16E+01,1.13E+02,0.114861061,9.7223E-10,7.93E-27,3.49E+03,6.82E+02,-2.66E+03
31,8.61E+01,8.61E+01,-1.07E+02,4.31E+02,2.14E+01,1.13E+02,0.113818806,8.2394E-11,7.95E-27,3.39E+03,5.18E+02,-2.91E+03
31,8.63E+01,8.63E+01,-1.10E+02,4.00E+02,3.63E+01,1.10E+02,7.71E-02,9.8614E-10,1.18E-26,2.66E+03,1.28E+03,-8.94E+02
31,8.62E+01,8.62E+01,-1.05E+02,3.08E+02,1.28E+01,1.13E+02,9.40E-02,5.95392E-10,7.98E-27,4.07E+03,5.32E+02,-3.01E+03
31,8.62E+01,8.62E+01,-1.09E+02,3.81E+02,2.13E+01,1.10E+02,7.94E-02,9.26493E-10,1.10E-26,-1.63E+03,6.76E+02,1.81E+03
31,8.62E+01,8.62E+01,-1.06E+02,3.53E+02,2.99E+01,1.14E+02,0.113355495,9.89106E-10,7.90E-27,2.56E+03,1.26E+03,-8.82E+02
31,8.62E+01,8.62E+01,-1.07E+02,3.54E+02,2.58E+01,1.14E+02,0.113345579,4.00267E-10,7.77E-27,-1.76E+03,6.12E+02,1.82E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.29E+02,2.21E+01,1.11E+02,8.46E-02,4.90643E-10,9.58E-27,3.28E+03,6.28E+02,-2.82E+03
31,8.62E+01,8.62E+01,-1.07E+02,3.21E+02,1.59E+01,1.12E+02,8.96E-02,2.41341E-10,8.74E-27,3.39E+03,4.96E+02,-2.92E+03
31,8.62E+01,8.62E+01,-1.09E+02,3.70E+02,1.82E+01,1.10E+02,8.21E-02,7.61814E-10,1.03E-26,3.32E+03,6.36E+02,-2.79E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.39E+02,1.72E+01,1.11E+02,8.59E-02,5.57706E-10,9.45E-27,3.33E+03,5.78E+02,-2.96E+03
31,8.62E+01,8.62E+01,-1.10E+02,3.97E+02,2.31E+01,1.10E+02,7.96E-02,2.21695E-10,1.10E-26,3.66E+03,5.80E+02,-2.69E+03
31,8.62E+01,8.62E+01,-1.08E+02,3.39E+02,1.70E+01,1.11E+02,8.48E-02,8.33144E-10,9.54E-27,3.40E+03,6.39E+02,-2.82E+03
31,8.61E+01,8.61E+01,-1.08E+02,3.53E+02,1.97E+01,1.11E+02,8.21E-02,2.23815E-10,1.02E-26,-1.58E+03,5.17E+02,1.86E+03
31,8.62E+01,8.62E+01,-1.08E+02,4.17E+02,2.31E+01,1.13E+02,0.113663378,7.4835E-10,7.95E-27,3.60E+03,6.66E+02,-2.81E+03
31,8.62E+01,8.62E+01,-1.07E+02,3.18E+02,1.81E+01,1.12E+02,8.74E-02,1.06198E-09,9.05E-27,-1.61E+03,6.61E+02,1.90E+03
31,8.62E+01,8.62E+01,-1.10E+02,3.77E+02,2.52E+01,1.10E+02,8.03E-02,7.74836E-10,1.09E-26,-1.73E+03,6.96E+02,1.81E+03
31,8.61E+01,8.61E+01,-1.07E+02,2.88E+02,2.23E+01,1.13E+02,9.37E-02,7.62715E-11,7.93E-27,3.97E+03,5.37E+02,-2.97E+03
31,8.61E+01,8.61E+01,-1.06E+02,3.16E+02,1.66E+01,1.13E+02,0.101070882,5.44871E-11,7.80E-27,3.99E+03,4.63E+02,-3.03E+03
31,8.61E+01,8.61E+01,-1.08E+02,3.15E+02,2.72E+01,1.12E+02,8.78E-02,3.9717E-10,9.08E-27,3.54E+03,6.73E+02,-2.72E+03
31,8.62E+01,8.62E+01,-1.07E+02,3.15E+02,1.65E+01,1.12E+02,8.91E-02,7.78697E-10,8.63E-27,3.29E+03,6.15E+02,-2.78E+03
31,8.61E+01,8.61E+01,-1.07E+02,3.44E+02,2.24E+01,1.13E+02,0.108400593,8.63487E-10,7.86E-27,3.56E+03,6.91E+02,-2.69E+03
31,8.61E+01,8.61E+01,-1.10E+02,3.56E+02,2.59E+01,1.10E+02,8.17E-02,2.52553E-10,1.02E-26,3.76E+03,6.23E+02,-2.73E+03
31,8.61E+01,8.61E+01,-1.06E+02,3.00E+02,1.95E+01,1.13E+02,9.14E-02,3.2312E-10,8.31E-27,-1.56E+03,5.37E+02,1.84E+03
31,8.61E+01,8.61E+01,-1.08E+02,3.36E+02,1.75E+01,1.11E+02,8.61E-02,2.38053E-10,9.24E-27,3.49E+03,5.16E+02,-2.87E+03
31,8.61E+01,8.61E+01,-1.07E+02,3.07E+02,1.99E+01,1.12E+02,8.95E-02,1.09584E-09,8.66E-27,-1.61E+03,6.93E+02,1.93E+03
31,8.61E+01,8.61E+01,-1.08E+02,3.36E+02,2.27E+01,1.11E+02,8.57E-02,1.65895E-10,9.45E-27,3.35E+03,5.59E+02,-2.74E+03
31,8.61E+01,8.61E+01,-1.07E+02,3.20E+02,2.22E+01,1.12E+02,8.65E-02,4.21087E-10,9.19E-27,-1.67E+03,5.87E+02,1.77E+03
