Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
36,9.20E+01,9.20E+01,9.60E+01,1.13E+02,6.58E+00,3.59E+02,0.157744617,1.86746E-09,7.47E-27,3.74E+03,3.67E+03,-3.17E+03
39,9.59E+01,9.59E+01,9.95E+01,1.11E+02,6.13E+00,4.39E+02,0.113173574,9.05977E-10,7.86E-27,-3.76E+03,-2.74E+03,3.18E+03
39,1.76E+02,1.76E+02,-1.76E+02,-2.82E+02,2.35E+01,3.98E+02,0.198571801,1.73926E-10,9.69E-27,2.43E+03,1.28E+03,3.04E+03
39,1.85E+02,1.85E+02,-1.83E+02,4.19E+02,8.02E+00,5.41E+02,0.148611644,2.07099E-12,1.41E-26,3.64E+03,-3.85E+03,-3.56E+03
39,1.85E+02,1.85E+02,-1.83E+02,4.83E+02,4.32E+01,8.06E+02,9.81E-02,2.45994E-13,1.74E-26,3.04E+03,1.33E+03,3.09E+03
39,1.85E+02,1.85E+02,1.83E+02,-3.11E+02,2.54E+01,1.22E+03,0.126691472,3.40507E-12,1.67E-26,3.27E+03,-3.79E+03,-3.41E+03
38,1.82E+02,1.82E+02,1.81E+02,-2.27E+02,1.15E+01,8.34E+02,8.74E-02,2.5358E-11,1.67E-26,-2.98E+03,-1.27E+03,-2.07E+03
39,1.84E+02,1.84E+02,1.82E+02,-3.93E+02,1.13E+01,1.84E+03,0.181271092,3.22102E-12,1.19E-26,-4.12E+03,1.98E+03,2.60E+03
39,1.83E+02,1.83E+02,1.83E+02,2.04E+02,1.55E+01,5.61E+02,8.82E-02,1.9968E-10,1.93E-26,2.11E+03,1.18E+03,-1.79E+03
39,1.84E+02,1.84E+02,-1.83E+02,4.25E+02,2.94E+01,5.52E+02,0.145318272,9.87163E-12,1.48E-26,3.13E+03,1.32E+03,3.15E+03
39,1.85E+02,1.85E+02,1.87E+02,-2.55E+02,1.61E+01,3.85E+02,0.115896429,4.8109E-10,1.99E-26,3.25E+03,-3.89E+03,-3.51E+03
40,9.68E+01,9.68E+01,1.00E+02,1.11E+02,5.71E+00,4.75E+02,0.10276516,7.17996E-10,7.63E-27,-3.77E+03,-2.81E+03,3.10E+03
38,1.82E+02,1.82E+02,1.81E+02,-2.69E+02,2.75E+01,6.13E+02,0.193965657,9.82066E-11,1.18E-26,3.05E+03,-3.85E+03,-3.39E+03
39,9.61E+01,9.61E+01,1.01E+02,1.13E+02,8.84E+00,3.39E+02,6.28E-02,9.02736E-10,1.86E-26,-3.72E+03,-2.85E+03,3.07E+03
34,8.89E+01,8.89E+01,9.36E+01,1.07E+02,6.12E+00,3.73E+02,0.107742072,1.47647E-09,8.50E-27,-3.74E+03,-2.72E+03,3.01E+03
38,1.80E+02,1.80E+02,-1.78E+02,-1.91E+02,3.65E+01,1.21E+03,0.157124846,2.76398E-12,1.24E-26,2.60E+03,1.20E+03,2.99E+03
36,9.18E+01,9.18E+01,9.55E+01,1.09E+02,5.25E+00,4.21E+02,0.120844488,1.49988E-09,8.12E-27,3.24E+03,1.20E+03,1.73E+03
38,1.80E+02,1.80E+02,1.79E+02,-3.38E+02,1.45E+01,8.90E+02,0.182545149,2.75231E-11,1.22E-26,3.79E+03,-3.92E+03,2.95E+03
38,1.81E+02,1.81E+02,1.79E+02,4.16E+02,1.53E+01,1.20E+03,0.179830258,2.09482E-11,1.25E-26,2.12E+03,9.93E+02,-1.59E+03
36,1.76E+02,1.76E+02,1.74E+02,-3.19E+02,3.82E+01,2.51E+03,0.149061846,4.55783E-16,1.17E-26,2.91E+03,-3.80E+03,-3.57E+03
37,1.79E+02,1.79E+02,-1.75E+02,-4.10E+02,5.58E+00,1.35E+03,0.165252963,1.20713E-11,1.18E-26,3.55E+03,3.70E+03,3.20E+03
38,9.26E+01,9.26E+01,9.64E+01,1.09E+02,5.43E+00,4.44E+02,0.131670058,1.1741E-09,6.71E-27,-3.73E+03,-2.86E+03,3.03E+03
39,9.58E+01,9.58E+01,1.00E+02,1.14E+02,6.96E+00,3.56E+02,7.25E-02,1.06857E-09,1.69E-26,3.55E+03,3.80E+03,-3.25E+03
39,1.84E+02,1.84E+02,1.82E+02,-2.35E+02,2.71E+01,1.37E+03,0.127919304,1.95938E-12,1.65E-26,3.12E+03,-3.68E+03,-3.44E+03
38,1.80E+02,1.80E+02,-1.78E+02,2.96E+02,1.59E+01,1.91E+03,0.152157398,1.9122E-12,1.39E-26,-2.83E+03,1.55E+03,2.13E+03
39,9.46E+01,9.46E+01,9.83E+01,1.16E+02,7.97E+00,3.48E+02,0.179004848,1.88573E-09,6.87E-27,3.69E+03,3.81E+03,-3.21E+03
39,1.85E+02,1.85E+02,1.83E+02,3.30E+02,1.07E+01,7.91E+02,0.106687886,5.93236E-11,1.82E-26,2.19E+03,8.81E+02,-1.51E+03
40,1.85E+02,1.85E+02,-1.84E+02,3.80E+02,3.69E+01,5.29E+02,0.207716411,1.72812E-11,1.11E-26,3.15E+03,1.32E+03,3.04E+03
37,9.31E+01,9.31E+01,9.76E+01,1.09E+02,6.13E+00,3.95E+02,7.52E-02,9.2951E-10,1.32E-26,-3.88E+03,-2.77E+03,3.23E+03
38,9.00E+01,9.00E+01,9.35E+01,1.07E+02,5.71E+00,4.17E+02,0.138727718,1.57814E-09,6.20E-27,3.12E+03,1.06E+03,1.64E+03
38,9.39E+01,9.39E+01,9.70E+01,1.08E+02,7.48E+00,4.14E+02,0.100908285,7.63104E-10,7.85E-27,-3.61E+03,-2.04E+03,-1.32E+03
38,1.81E+02,1.81E+02,1.80E+02,-3.64E+02,1.94E+01,6.10E+02,0.126195499,7.27832E-11,1.67E-26,3.20E+03,-3.75E+03,-3.56E+03
37,1.80E+02,1.80E+02,1.79E+02,-5.24E+02,3.25E+01,5.88E+02,0.155453614,9.10439E-11,1.41E-26,3.09E+03,-3.83E+03,-3.50E+03
39,1.84E+02,1.84E+02,-1.82E+02,3.58E+02,3.10E+01,2.51E+03,0.180116467,1.83558E-12,1.25E-26,3.10E+03,1.43E+03,3.09E+03
38,9.40E+01,9.40E+01,9.85E+01,1.10E+02,5.17E+00,4.33E+02,6.92E-02,8.5228E-10,1.39E-26,-3.76E+03,-2.83E+03,3.15E+03
38,1.82E+02,1.82E+02,-1.81E+02,2.00E+02,1.65E+01,-1.05E+03,0.176392581,2.27305E-11,1.29E-26,-2.90E+03,1.26E+03,2.04E+03
39,8.98E+01,8.98E+01,9.46E+01,1.11E+02,5.20E+00,3.87E+02,0.181627875,2.53645E-09,5.91E-27,-3.83E+03,-2.82E+03,3.14E+03
